País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
Peru;2022;2.073;33.191,0;223,5;269.826;4.373;11.047;14.820;12.532;39.133;21.846;9.483;;;;9.434;3.453
Philippines;2022;53.943;249.382,0;2.365,8;2.344.108;50.624;166.553;88.878;387.970;307.866;236.371;40.339;;;;76.700;98.557
Poland;2022;4;5,0;1,0;59;10;1;1;;;1;3;;;;0;0
Portugal;2022;3.408;13.878,0;748,0;67.975;23.175;620;1.124;1.076;391;717;1.048;;;;269;185
Puerto Rico;2022;4.036;58.187,0;651,1;305.527;21.787;26.099;23.484;8.058;4.488;7.345;16.137;;;;5.615;4.662
Romania;2022;2;12,0;0,3;—;—;—;—;—;—;—;—;;;;;
Samoa;2022;30;191,0;0,6;3.899;;1.055;354;290;25;25;;;;;206;732
Seychelles;2022;376;233,0;247,6;16.453;583;280;782;429;33;84;380;;;;31;11
Sierra Leone;2022;520;7.139,0;0,5;6.451;217;239;124;141;128;125;198;;;;126;150
Singapore;2022;1.958;2.506,0;144,5;31.945;2.014;2.356;1.311;3.176;1.608;2.820;1.407;;;;1.832;1.116
Sint Eustatius;2022;79;550,0;1,7;5;—;—;—;—;—;—;—;;;;;
Sint Maarten;2022;469;3.491,0;32,5;34.779;506;4.598;976;899;922;492;344;;;;1.061;388
Solomon Islands;2022;278;691,0;0,3;5.875;108;2.114;600;68;405;400;41;;;;398;8
South Africa;2022;21.143;746.937,0;204,3;18.864;1.348;486;769;727;194;673;2.117;;;;406;120
South Korea;2022;4.603;83.432,0;721,0;227.172;16.231;9.121;6.053;6.858;4.692;2.100;2.860;;;;3.276;1.472
Spain;2022;2.119;4.597,0;51,8;179.449;81.154;1.784;4.805;5.662;703;1.061;1.066;;;;670;55
Sri Lanka;2022;3.725;15.808,0;92,0;108.971;3.050;18.434;6.910;7.985;8.419;4.791;3.183;;;;1.605;910
St Kitts & Nevis;2022;99;393,0;8,0;4.744;19;1.749;126;82;145;62;18;;;;224;15
St Lucia;2022;156;2.151,0;7,0;4.614;46;865;304;260;170;119;109;;;;191;121
St Vincent and the Grenadines;2022;29;209,0;4,7;1.530;45;318;255;40;5;32;;;;;75;14
Sweden;2022;8.549;62.242,0;855,3;185;114;2;5;16;;2;1;;;;1;0
Taiwan;2022;7.170;14.432,0;32,2;117.218;6.719;35.027;23.282;1.899;4.756;2.044;7.556;;;;7.439;1.042
Tanzania;2022;3.034;15.713,0;13,4;29.904;936;2.602;3.195;7.855;1.325;346;664;;;;579;614
Thailand;2022;3.380;17.132,0;67,0;233.938;3.535;27.858;3.433;20.994;42.908;19.541;5.334;;;;4.369;106
Trinidad and Tobago;2022;649;2.353,0;22,2;34.895;1.030;16.796;4.757;2.729;932;1.888;517;;;;2.304;623
Turkey;2022;383;756,0;5,1;7.521;4.000;508;51;19;1.522;255;12;;;;35;13
U.S. Virgin Islands;2022;424;1.985,0;14,7;27.809;1.095;1.485;2.401;1.700;292;765;1.134;;;;356;194
